n=165, k=55, S=249, p=[2^37 3^9], Criterion 1
n=165, k=55, S=249, p=[2^36 3^11], Criterion 1
n=165, k=55, S=249, p=[2^35 3^13], Criterion 1
n=165, k=55, S=249, p=[2^34 3^15], Criterion 1
n=165, k=55, S=249, p=[2^33 3^17], Criterion 1
n=165, k=55, S=249, p=[2^32 3^19], Criterion 1
n=169, k=65, S=221, p=[2^58 4^3], Criterion 1
n=169, k=65, S=221, p=[2^58 4 5^4], Criterion 1
n=169, k=65, S=221, p=[2^58 5^5], Criterion 1
n=169, k=65, S=221, p=[2^57 4^5], Criterion 1
n=169, k=65, S=221, p=[2^57 5^7], Criterion 1
n=169, k=65, S=221, p=[2^56 4^7], Criterion 1
n=170, k=57, S=255, p=[2^42 3^3], Criterion 1
n=170, k=57, S=255, p=[2^41 3^5], Criterion 1
n=170, k=57, S=255, p=[2^40 3^7], Criterion 1
n=170, k=57, S=255, p=[2^39 3^9], Criterion 1
n=170, k=57, S=255, p=[2^38 3^11], Criterion 1
n=170, k=57, S=255, p=[2^37 3^13], Criterion 1
n=170, k=57, S=255, p=[2^36 3^15], Criterion 1
n=170, k=57, S=255, p=[2^35 3^17], Criterion 1
n=171, k=57, S=258, p=[2^42 3^2], Criterion 1
n=171, k=57, S=258, p=[2^41 3^4], Criterion 1
n=171, k=57, S=258, p=[2^40 3^6], Criterion 1
n=171, k=57, S=258, p=[2^39 3^8], Criterion 1
n=171, k=57, S=258, p=[2^38 3^10], Criterion 1
n=171, k=57, S=258, p=[2^37 3^12], Criterion 1
n=171, k=57, S=258, p=[2^36 3^14], Criterion 1
n=171, k=57, S=258, p=[2^35 3^16], Criterion 1
n=171, k=57, S=258, p=[2^34 3^18], Criterion 1
n=175, k=55, S=280, p=[2^34 3^11], Criterion 1
n=175, k=55, S=280, p=[2^33 3^13], Criterion 1
n=175, k=55, S=280, p=[2^32 3^15], Criterion 1
n=175, k=55, S=280, p=[2^31 3^17], Criterion 1
n=175, k=56, S=275, p=[2^37 3^8], Criterion 1
n=175, k=56, S=275, p=[2^36 3^10], Criterion 1
n=175, k=56, S=275, p=[2^35 3^12], Criterion 1
n=175, k=56, S=275, p=[2^34 3^14], Criterion 1
n=175, k=56, S=275, p=[2^33 3^16], Criterion 1
n=175, k=70, S=220, p=[2^65 5^2], Criterion 1
n=175, k=70, S=220, p=[2^64 3 5^3], Criterion 12
n=175, k=70, S=220, p=[2^64 4^2 5^2], Criterion 1
n=175, k=70, S=220, p=[2^64 4 5^3], Criterion 1
n=175, k=70, S=220, p=[2^64 5^4], Criterion 1
n=175, k=70, S=220, p=[2^63 4 5^5], Criterion 1
n=175, k=70, S=220, p=[2^63 5^6], Criterion 1
n=176, k=59, S=264, p=[2^44 3^2], Criterion 1
n=176, k=59, S=264, p=[2^43 3^4], Criterion 1
n=176, k=59, S=264, p=[2^42 3^6], Criterion 1
n=176, k=59, S=264, p=[2^41 3^8], Criterion 1
n=176, k=59, S=264, p=[2^40 3^10], Criterion 1
n=176, k=59, S=264, p=[2^39 3^12], Criterion 1
n=176, k=59, S=264, p=[2^38 3^14], Criterion 1
n=176, k=59, S=264, p=[2^37 3^16], Criterion 1
n=176, k=59, S=264, p=[2^36 3^18], Criterion 1
n=176, k=66, S=236, p=[2^58 4^2], Criterion 1
n=176, k=66, S=236, p=[2^58 5^6], Criterion 1
n=176, k=66, S=236, p=[2^57 3^2 4], Criterion 12
n=176, k=66, S=236, p=[2^57 3 4^3], Criterion 12
n=176, k=66, S=236, p=[2^57 4^4], Criterion 1
n=176, k=66, S=236, p=[2^56 3^2], Criterion 2
n=176, k=66, S=236, p=[2^56 3 4^5], Criterion 12
n=176, k=66, S=236, p=[2^56 4^6], Criterion 1
n=176, k=66, S=236, p=[2^55 3^2], Criterion 2
n=176, k=66, S=236, p=[2^55 3 4^7], Criterion 12
n=176, k=66, S=236, p=[2^55 4^8], Criterion 1
n=176, k=66, S=236, p=[2^54 3^2], Criterion 2
n=176, k=66, S=236, p=[2^54 3 4^9], Criterion 12
n=176, k=66, S=236, p=[2^54 4^10], Criterion 1
n=176, k=66, S=236, p=[2^53 3^8 4], Criterion 2
n=176, k=66, S=236, p=[2^53 3^7 4^3], Criterion 2
n=176, k=66, S=236, p=[2^52 3^2], Criterion 2
n=176, k=66, S=236, p=[2^51 3^11 4], Criterion 2
n=176, k=66, S=236, p=[2^50 3^2], Criterion 2
n=177, k=59, S=267, p=[2^43 3^3], Criterion 1
n=177, k=59, S=267, p=[2^42 3^5], Criterion 1
n=177, k=59, S=267, p=[2^41 3^7], Criterion 1
n=177, k=59, S=267, p=[2^40 3^9], Criterion 1
n=177, k=59, S=267, p=[2^39 3^11], Criterion 1
n=177, k=59, S=267, p=[2^38 3^13], Criterion 1
n=177, k=59, S=267, p=[2^37 3^15], Criterion 1
n=177, k=59, S=267, p=[2^36 3^17], Criterion 1
n=177, k=59, S=267, p=[2^35 3^19], Criterion 1
n=182, k=61, S=273, p=[2^45 3^3], Criterion 1
n=182, k=61, S=273, p=[2^44 3^5], Criterion 1
n=182, k=61, S=273, p=[2^43 3^7], Criterion 1
n=182, k=61, S=273, p=[2^42 3^9], Criterion 1
n=182, k=61, S=273, p=[2^41 3^11], Criterion 1
n=182, k=61, S=273, p=[2^40 3^13], Criterion 1
n=182, k=61, S=273, p=[2^39 3^15], Criterion 1
n=182, k=61, S=273, p=[2^38 3^17], Criterion 1
n=182, k=61, S=273, p=[2^37 3^19], Criterion 1
n=183, k=61, S=276, p=[2^45 3^2], Criterion 1
n=183, k=61, S=276, p=[2^44 3^4], Criterion 1
n=183, k=61, S=276, p=[2^43 3^6], Criterion 1
n=183, k=61, S=276, p=[2^42 3^8], Criterion 1
